Lucas;
5971;6025;6093;6139;6231;6311;6338;6401;6475;6563;6571;6604;6664;6707;6721;6823;6881;6941;6967;7039;7050;7131;7198;7284;7311;7392;7814;7923;7961;8031;8093;8175;8187;8258;f;
124076;124131;124189;124243;124334;124406;124424;124494;124559;124619;124654;124668;124720;124766;124796;124886;124914;125005;125028;125110;125120;125208;125283;125380;125381;125466;125511;125602;125626;125715;125764;125814;125858;125900;f;
129241;129284;129366;129376;129478;129568;129592;129688;129749;129835;129841;129890;129952;130020;130576;130672;130768;130856;130917;130996;131004;131104;131145;131200;131227;131288;131310;131400;131411;131470;131516;131592;131600;131668;f;
136670;136745;136813;136836;136908;136998;137011;137093;137174;137226;137262;137266;137316;137356;137548;137617;137634;137698;137810;137884;137902;137983;138022;138091;138107;138188;138197;138276;138308;138379;138424;138479;138515;138564;f;
8320;8343;8415;8449;8554;8632;8642;8723;8789;8859;8877;8898;8955;8986;8995;9069;9097;9175;9181;9213;9256;9320;9401;9496;9521;9598;9605;9696;9744;9832;9886;9952;9968;10048;f;
14409;14476;14534;14582;14715;14734;14761;14827;14889;14974;14987;15006;15047;15088;15109;15184;15234;15332;15338;15384;15418;15486;15512;15599;15614;15678;15687;15770;15831;15901;15950;16024;16035;16114;f;
18888;18940;18998;19046;19115;19216;19223;19307;19364;19442;19448;19472;19520;19549;19569;19645;19686;19757;19774;19835;19852;19921;19964;20048;20059;20132;20144;20236;20263;20344;20398;20490;20490;20560;f;
23210;23247;23309;23339;23436;23526;23624;23712;23768;23853;23869;23884;23931;23994;24132;24234;24305;24384;24392;24433;24734;24824;24873;24964;24984;25082;25082;25172;25202;25286;25336;25402;25433;25502;f;
40305;40346;40409;40441;40505;40599;40622;40709;40766;40851;40877;40893;40954;40986;41006;41077;41345;41431;41450;41536;41537;41627;41658;41732;41753;41818;41970;42077;42131;42219;42286;42382;42396;42487;f;
52809;52857;52943;52956;53016;53089;53120;53173;53231;53327;53329;53367;53416;53475;53485;53575;53605;53680;53727;53781;53817;53893;53956;54049;54147;54234;54427;54559;54559;54605;54665;54703;54739;54803;f;
90813;90844;90909;90954;91119;91191;91299;91405;91465;91540;91543;91553;91600;91656;91673;91766;91772;91866;91898;91974;91982;92057;92092;92178;92182;92251;92273;92348;92382;92464;92504;92577;92596;92669;f;
95765;95810;95866;95908;96009;96096;96134;96215;96274;96353;96362;96367;96421;96459;96466;96550;96562;96659;96681;96747;96770;96842;96887;96980;96985;97067;97071;97159;97204;97293;97316;97365;97405;97473;f;
99976;100017;100079;100127;100208;100303;100303;100377;100437;100549;100549;100549;100568;100617;100633;100709;100721;100814;100863;100948;101082;101083;101083;101177;101183;101365;101365;101365;101376;101453;101482;101642;101643;101713;f;
111811;111860;111935;111969;112065;112186;112186;112283;112337;112413;112430;112455;112478;112525;112549;112652;112667;112769;112777;112860;112873;112955;112996;113080;113097;113162;113196;113267;113305;113377;113441;113513;113514;113601;f;
116549;116592;116662;116692;116790;116889;116952;116990;117058;117121;117140;117154;117205;117254;117265;117349;117374;117449;117459;117553;117557;117658;117692;117784;117788;117872;117879;117958;118013;118090;118152;118330;118330;118406;f;
121020;121071;121127;121161;121252;121348;121432;121515;121580;121661;121663;121673;121718;121759;121782;121849;121861;121963;121985;122034;122078;122145;122189;122275;122282;122351;122359;122453;122484;122572;122607;122683;122696;122783;f;
124838;124883;124943;124976;125044;125141;125186;125266;125324;125371;125406;125414;125460;125510;125521;125594;125601;125690;125696;125756;125786;125868;125904;125991;126102;126186;126458;126546;126558;126635;126677;126726;126772;126822;f;
129030;129076;129148;129179;129258;129362;129450;129516;129564;129616;129646;129656;129705;129773;129792;129885;129890;129996;129997;130064;130092;130164;130198;130273;130316;130410;130436;130548;130578;130674;130724;130790;130804;130883;f;
134615;137422;137476;137534;137542;137636;137724;137926;138019;138092;138186;138194;138224;138279;138355;138355;138446;138462;138558;138580;138652;138662;138745;138776;138860;138862;138946;138948;139032;139070;139152;139198;139259;139294;f;
146809;146868;146921;146948;147041;147179;147179;147256;147309;147366;147401;147406;147468;147511;147516;147604;147605;147707;147711;147773;147794;147863;147897;147981;147986;148071;148071;148171;148189;148268;148318;148388;148403;148477;f;
150572;150648;150704;150761;150843;150944;151000;151057;151115;151185;151197;151210;151256;151315;151328;151400;151416;151496;151502;151551;151589;151655;151691;151779;151783;151859;151925;152025;152036;152112;152162;152246;152284;152331;f;
154451;154520;154578;154613;154689;154818;154841;154923;154989;155044;155079;155084;155133;155195;155210;155300;155318;155421;155429;155493;155515;155598;155636;155744;155755;155837;155903;156005;156011;156090;156145;156257;156257;156347;f;
165271;165333;165385;165395;165463;165545;165593;165657;165699;165771;165785;165801;165846;165897;165905;166005;166021;166114;166115;166191;166197;166298;166335;166422;166427;166511;166525;166621;166631;166712;166761;166828;166840;166928;f;
169163;169212;169265;169316;169401;169494;169598;169632;169731;169759;169792;169797;169841;169887;169897;169977;169981;170073;170075;170142;170162;170245;170302;170395;170463;170551;170681;170749;170766;170832;170873;170963;170974;171057;f;
173202;173248;173306;173344;173421;173512;173561;173674;173717;173777;173803;173805;173858;173891;173911;173983;173997;174078;174097;174156;174170;174262;174304;174398;174404;174487;174537;174638;174638;174720;174761;174817;174859;174912;f;
180728;180784;180830;180880;180938;181034;181039;181126;181201;181260;181286;181302;181354;181401;181410;181505;181636;181746;181754;181828;181839;181940;181968;182040;182046;182118;182139;182223;182230;182310;182341;182402;182419;182486;f;
198663;198708;198757;198798;198860;198930;198971;199010;199082;199146;199165;199169;199216;199269;199280;199360;199369;199459;199459;199517;199550;199638;199735;199815;199825;199909;199945;200028;200037;200121;200159;200211;200251;200305;f;
212076;212137;212205;212238;212336;212407;212433;212492;212547;212614;212637;212659;212702;212751;212763;212841;212845;212941;212953;213024;213045;213122;213149;213237;213251;213313;213357;213441;213449;213525;213585;213646;213669;213739;f;
16713;16747;16814;16856;16955;16977;17046;17082;17156;17217;17233;17265;17357;17363;17373;17463;17479;17582;17591;17661;17678;17752;17796;17894;17913;17960;18010;18101;18144;18194;18238;18307;18331;18405;f;
21982;22012;22079;22115;22209;22252;22291;22329;22400;22429;22478;22481;22539;22586;22595;22689;22697;22773;22788;22863;22885;22970;23021;23104;23104;23188;23188;23278;23285;23368;23410;23467;23504;23550;f;
26440;26486;26540;26584;26647;26746;26783;26876;26931;26982;27025;27028;27087;27118;27137;27210;27235;27305;27324;27400;27412;27500;27540;27613;27638;27690;27735;27807;27808;27882;27928;28010;28020;28094;f;
31408;31452;31514;31549;31604;31759;31790;31870;31930;31982;32011;32024;32066;32118;32130;32219;32221;32311;32326;32402;32416;32497;32518;32592;32617;32702;32807;32919;32963;33056;33103;33220;33220;33273;f;
38347;38404;38471;38504;38577;38672;38682;38754;38814;38884;38896;38910;38964;38991;39010;39080;39093;39174;39188;39241;39257;39338;39368;39440;39462;39518;39554;39634;39646;39714;39768;39834;39850;39926;f;
42728;42745;42830;42856;42930;43048;43048;43147;43200;43264;43290;43296;43348;43394;43402;43469;43490;43565;43574;43608;43672;43708;43738;43813;43846;43899;43929;44014;44015;44085;44127;44197;44209;44291;f;
46387;46444;46502;46546;46606;46713;46755;46848;46892;46960;46983;46992;47039;47084;47094;47171;47171;47279;47279;47310;47349;47416;47478;47506;47538;47592;47632;47701;47728;47790;47841;47896;47941;47991;f;
50241;50276;50363;50398;50462;50596;50611;50701;50760;50803;50844;50852;50899;50964;51001;51084;51092;51185;51188;51268;51276;51349;51378;51437;51467;51504;51583;51651;51674;51740;51807;51907;51923;52014;f;
54614;54664;54748;54782;54852;54964;55035;55127;55218;55295;55306;55333;55397;55408;55445;55507;55621;55701;55747;55827;55841;55937;55978;56047;56073;56126;56631;56695;56709;56784;56821;56861;56913;56957;f;
59098;59145;59207;59251;59313;59416;59416;59498;59563;59617;59659;59659;59708;59750;59785;59845;59871;59961;59976;60011;60043;60117;60157;60231;60259;60313;60360;60437;60473;60527;60581;60647;60658;60744;f;
62910;62960;63030;63054;63109;63277;63295;63370;63437;63517;63525;63557;63610;63653;63671;63744;63753;63851;63859;63935;63945;64023;64063;64121;64153;64201;64270;64329;64353;64422;64482;64533;64573;64637;f;
67405;67453;67513;67563;67617;67781;67781;67867;67929;67979;68011;68013;68065;68141;68151;68239;68249;68333;68345;68419;68423;68509;68536;68611;68632;68715;68775;68859;68865;68933;68987;69083;69089;69179;f;
71485;71545;71607;71648;71695;71826;71860;71950;72013;72074;72105;72119;72172;72218;72228;72307;72308;72404;72410;72469;72495;72572;72628;72665;72718;72740;73031;73112;73118;73203;73259;73313;73338;73413;f;
75933;75972;76040;76080;76161;76268;76374;76410;76486;76529;76569;76577;76628;76690;76690;76763;76777;76861;76891;76934;76980;77026;77063;77142;77182;77221;77368;77438;77443;77528;77588;77655;77686;77748;f;
80831;80870;80929;80969;81042;81173;81205;81296;81364;81396;81438;81448;81498;81544;81556;81632;81646;81728;81742;81812;81833;81918;81943;81994;82035;82077;82285;82364;82382;82468;82530;82578;82616;82677;f;
128181;128241;128299;128329;128400;128518;128521;128618;128669;128690;128749;128754;128796;128863;128881;128975;128976;129059;129232;129327;129348;129442;129487;129560;129590;129636;129668;129758;129772;129854;129903;129950;129994;130046;f;
132512;132560;132622;132647;132706;132807;132862;132944;133010;133056;133091;133092;133124;133179;133190;133257;133268;133351;133363;133448;133457;133564;133602;133678;133710;133758;133800;133865;133894;133953;133996;134040;134084;134139;f;
136185;136238;136304;136334;136382;136543;136544;136609;136666;136721;136738;136751;136792;136844;136855;136934;136942;137020;137034;137091;137118;137196;137228;137304;137319;137373;137398;137486;137496;137583;137625;137675;137713;137757;f;
139761;139806;139880;139902;139980;140086;140129;140214;140272;140318;140347;140357;140407;140473;140482;140562;140576;140664;140682;140764;140772;140880;140940;141040;141057;141138;141166;141266;141272;141358;141446;141450;141522;141578;f;
144408;144458;144567;144576;144616;144686;144722;144773;144833;144890;144915;144944;144995;145035;145052;145130;145150;145225;145413;145496;145504;145604;145740;145850;145875;145966;146008;146098;146104;146188;146237;146296;146330;146400;f;
148438;148476;148547;148587;148655;148760;148820;148888;148950;148987;149034;149040;149092;149146;149154;149223;149244;149338;149343;149389;149432;149496;149524;149594;149625;149668;149725;149796;149824;149884;149934;149983;150042;150075;f;
152202;152227;152295;152318;152392;152506;152554;152638;152703;152760;152782;152794;152842;152901;152912;152984;153009;153083;153102;153149;153193;153238;153265;153327;153363;153399;153466;153532;153554;153617;153668;153707;153772;153805;f;
166211;166254;166319;166369;166563;166677;166879;166969;167031;167095;167115;167122;167175;167205;167244;167291;167315;167379;167403;167469;167476;167549;167581;167667;167685;167759;167812;167891;167906;167983;168016;168067;168105;168159;f;
183967;184014;184086;184125;184188;184226;184294;184312;184388;184468;184561;184631;184684;184746;184755;184845;184882;184970;184977;185060;185066;185149;185185;185240;185302;185324;185408;185490;185503;185580;185622;185686;185721;185783;f;
18494;18527;18588;18635;18719;18733;18780;18827;18879;18949;18970;18988;19047;19094;19109;19183;19291;19358;19388;19451;19455;19538;19588;19663;19685;19751;19818;19902;19915;19999;20059;20108;20150;20229;f;
23310;23352;23425;23449;23518;23613;23658;23733;23779;23834;23870;23872;23931;23961;23981;24045;24051;24138;24146;24197;24228;24283;24313;24369;24403;24449;24539;24635;24660;24745;24794;24837;24887;24919;f;
27169;27195;27277;27291;27389;27461;27533;27608;27659;27699;27733;27749;27787;27839;27848;27903;27930;28001;28005;28048;28099;28145;28161;28225;28261;28303;28353;28429;28443;28514;28555;28592;28649;28687;f;
30888;30933;31028;31028;31152;31267;31301;31384;31452;31459;31509;31538;31565;31617;31643;31701;31733;31799;31816;31859;31911;31950;31973;32025;32061;32104;32137;32223;32237;32307;32347;32396;32443;32477;f;
35225;35264;35346;35375;35440;35547;35580;35652;35708;35749;35791;35798;35849;35887;35913;35975;35979;36055;36085;36127;36148;36228;36262;36312;36355;36385;36468;36545;36552;36640;36690;36760;36790;36857;f;
